Composition_name,Sa(dot below),Re1(dot below),Re(dot below),Ga1(dot below),Ga(dot below),Ma(dot below),Ma2(dot below),Pa(dot below),Dha1(dot below),Dha(dot below),Ni1(dot below),Ni(dot below),Sa(no dot),Re1(no dot),Re(no dot),Ga1(no dot),Ga(no dot),Ma(no dot),Ma2(no dot),Pa(no dot),Dha1(no dot),Dha(no dot),Ni1(no dot),Ni(no dot),Sa(dot above),Re1(dot above),Re(dot above),Ga1(dot above),Ga(dot above),Ma(dot above),Ma2(dot above),Pa(dot above),Dha1(dot above),Dha(dot above),Ni1(dot above),Ni(dot above),Raag
Khamaj_01_123.csv,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,9,12,0,8,0,8,4,7,10,0,6,0,3,3,0,0,0,0,0,0,khamaj
Khamaj_02_124.csv,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,10,0,4,0,16,8,3,11,0,3,0,5,4,0,1,0,0,0,0,khamaj
Khamaj_03_125.csv,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,9,0,10,0,9,6,13,20,0,1,0,0,0,0,0,0,0,0,0,khamaj
Khamaj_04_126.csv,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,12,12,0,13,0,14,8,4,11,0,0,0,0,0,0,0,0,0,0,0,khamaj
Khamaj_05_127.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,10,0,7,7,9,21,0,1,0,2,0,0,0,0,0,0,0,khamaj
Khamaj_06_127.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,7,6,17,24,0,5,0,5,2,0,0,0,0,0,0,khamaj
Khamaj_07_128.csv,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,14,16,0,11,0,19,6,7,13,0,0,0,0,0,0,0,0,0,0,0,khamaj
Khamaj_08_130.csv,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,13,15,0,14,0,14,4,15,23,0,0,0,0,0,0,0,0,0,0,0,khamaj
Khamaj_09_131.csv,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,27,23,0,31,0,21,19,1,47,0,2,0,0,0,0,0,0,0,0,0,khamaj
Khamaj_10_133.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,0,24,0,17,10,14,31,0,3,0,0,0,0,0,0,0,0,0,khamaj
Khamaj_11_135.csv,0,0,0,0,0,0,0,0,0,0,0,7,1,0,5,0,14,24,0,25,0,27,9,12,23,0,3,0,2,1,0,0,0,0,0,0,khamaj
Khamaj_12_136.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,12,0,13,7,13,20,0,3,0,0,0,0,0,0,0,0,0,khamaj
Khamaj_13_137.csv,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,12,11,0,27,0,18,10,20,33,0,4,0,4,1,0,0,0,0,0,0,khamaj
Khamaj_14_138.csv,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,12,12,0,11,0,11,6,18,18,0,2,0,0,0,0,0,0,0,0,0,khamaj
Khamaj_15_139.csv,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,14,11,0,11,0,17,9,12,28,0,0,0,0,0,0,0,0,0,0,0,khamaj
Khamaj_16_140.csv,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,14,15,0,10,0,14,8,14,29,0,2,0,0,0,0,0,0,0,0,0,khamaj
Khamaj_17_141.csv,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,6,8,0,9,0,8,5,19,18,0,6,1,3,0,0,0,0,0,0,0,khamaj
Khamaj_18_142.csv,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,10,14,0,5,0,18,19,10,22,0,7,0,2,4,0,0,0,0,0,0,khamaj
Khamaj_19_143.csv,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,14,0,15,0,10,5,18,22,0,8,0,2,2,0,0,0,0,0,0,khamaj
Khamaj_20_145.csv,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,13,15,0,15,0,20,8,9,15,0,1,0,0,0,0,0,0,0,0,0,khamaj
Khamaj_21_146.csv,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,10,8,0,8,0,9,5,7,14,0,0,0,0,0,0,0,0,0,0,0,khamaj
Khamaj_22_147.csv,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,20,25,0,30,0,33,15,25,35,0,2,0,0,0,0,0,0,0,0,0,khamaj
Khamaj_23_150.csv,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,14,0,13,0,16,9,13,24,0,5,0,0,0,0,0,0,0,0,0,khamaj
Khamaj_24_151.csv,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,15,0,12,0,21,11,10,24,0,5,0,0,0,0,0,0,0,0,0,khamaj
Khamaj_25_152.csv,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,9,0,9,0,12,5,18,36,0,5,0,1,0,0,0,0,0,0,0,khamaj
Khamaj_26_154.csv,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,17,16,0,27,0,17,8,7,12,0,4,0,1,0,0,0,0,0,0,0,khamaj
Khamaj_27_156.csv,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8,11,0,12,0,18,14,17,25,0,2,0,1,2,0,0,0,0,0,0,khamaj
Khamaj_28_157.csv,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,11,21,0,12,0,19,10,13,26,0,0,0,0,0,0,0,0,0,0,0,khamaj
Khamaj_29_159.csv,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,13,12,0,10,0,12,8,16,33,0,6,0,0,0,0,0,0,0,0,0,khamaj
Khamaj_30_161.csv,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,11,0,17,0,15,8,12,22,0,2,0,1,1,0,0,0,0,0,0,khamaj
Khamaj_31_129.csv,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,10,0,7,0,14,6,14,17,0,2,0,1,1,0,0,0,0,0,0,khamaj
AlheyaBilaval_01_76.csv,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,8,8,0,9,0,10,0,6,15,0,7,0,3,3,0,1,0,0,0,0,Alheyabilaval
AlheyaBilaval_02_76.csv,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,8,4,0,7,0,10,0,17,19,0,6,0,6,5,0,1,0,0,0,0,Alheyabilaval
AlheyaBilaval_03_77.csv,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,9,11,0,14,0,13,2,20,23,0,5,0,7,5,0,1,0,0,0,0,Alheyabilaval
AlheyaBilaval_04_79.csv,0,0,0,0,0,0,0,0,0,0,0,2,6,0,5,0,9,14,0,13,0,20,6,28,38,0,9,0,9,9,0,4,0,0,0,0,Alheyabilaval
AlheyaBilaval_05_80.csv,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,10,6,0,9,0,6,1,8,23,0,9,0,8,5,0,1,0,0,0,0,Alheyabilaval
AlheyaBilaval_06_81.csv,0,0,0,0,0,0,0,0,0,0,0,1,2,0,7,0,17,13,0,16,0,9,0,14,26,0,8,0,6,4,0,1,0,0,0,0,Alheyabilaval
AlheyaBilaval_07_82.csv,0,0,0,0,0,0,0,0,0,0,0,1,4,0,7,0,7,11,0,15,0,14,1,19,35,0,10,0,5,1,0,0,0,0,0,0,Alheyabilaval
AlheyaBilaval_08_84.csv,0,0,0,0,0,0,0,0,0,0,0,1,6,0,6,0,10,12,0,20,0,10,1,9,26,0,7,0,4,1,0,0,0,0,0,0,Alheyabilaval
